second,replicas,server_p99
0,1,0.0
6,1,0.0
11,1,0.35024342700000943
17,2,0.35024342700000943
23,2,0.35024342700000943
28,3,0.4584726660000058
34,3,0.4584726660000058
39,4,0.4584726660000058
45,4,0.44514111899997033
50,5,0.44514111899997033
56,6,0.3986989350000272
62,6,0.3986989350000272
68,6,0.3986989350000272
73,5,0.3074522670000306
79,5,0.3074522670000306
85,5,0.3074522670000306
90,5,0.31317058500002304
96,5,0.31317058500002304
102,5,0.29699258599998757
107,4,0.29699258599998757
113,4,0.29699258599998757
119,4,0.2611823209999784
124,4,0.2611823209999784
130,4,0.2611823209999784
136,3,0.2535590900000102
141,3,0.2535590900000102
147,3,0.3170406109999817
152,3,0.3170406109999817
158,3,0.3170406109999817
164,3,0.2936683849999895
169,3,0.2936683849999895
175,3,0.2936683849999895
181,3,0.33523073999998587
186,3,0.33523073999998587
192,3,0.3076393000000053
198,2,0.3076393000000053
203,2,0.3076393000000053
209,2,0.33455242100001215
215,2,0.33455242100001215
220,2,0.33455242100001215
226,3,0.40703496200001155
232,3,0.40703496200001155
237,4,0.4387591159999943
243,4,0.4387591159999943
249,5,0.4387591159999943
254,5,0.4565050909999968
259,6,0.4565050909999968
265,6,0.4565050909999968
271,6,0.46283302699998785
276,6,0.46283302699998785
282,6,0.3781642239999883
287,6,0.3781642239999883
293,6,0.3781642239999883
299,5,0.33923132000006717
304,5,0.33923132000006717
310,5,0.33923132000006717
316,5,0.32823921800002154
322,5,0.32823921800002154
327,5,0.33147030500003893
333,4,0.33147030500003893
338,4,0.33147030500003893
344,4,0.3372274869999501
349,4,0.3372274869999501
355,4,0.3372274869999501
361,3,0.32356126600006974
366,3,0.32356126600006974
372,3,0.3718716350000477
378,6,0.3718716350000477
384,6,0.3718716350000477
389,6,0.4834968090000302
395,6,0.4834968090000302
401,6,0.3579160059999822
406,6,0.3579160059999822
412,6,0.3579160059999822
418,6,0.37079553900002793
423,6,0.37079553900002793
429,6,0.37079553900002793
435,6,0.3501784850000149
440,6,0.3501784850000149
446,6,0.3703256799999508
452,6,0.3703256799999508
458,6,0.3703256799999508
463,6,0.36404695999999603
469,6,0.36404695999999603
475,6,0.36404695999999603
480,6,0.47518275099992024
486,6,0.47518275099992024
492,6,0.370478831000014
498,6,0.370478831000014
503,6,0.370478831000014
509,6,0.39379632800000763
515,6,0.39379632800000763
520,6,0.35962255699996604
526,6,0.35962255699996604
532,6,0.35962255699996604
537,6,0.38305517200001304
543,6,0.38305517200001304
549,6,0.38305517200001304
555,6,0.36051678000001175
560,6,0.36051678000001175
566,6,0.3977115479999611
572,6,0.3977115479999611
577,6,0.3977115479999611
583,6,0.4045071939999843
588,6,0.4045071939999843
593,6,0.4045071939999843
598,6,0.3470216719999826
603,6,0.3470216719999826
609,6,0.3470216719999826
614,6,0.356846934000032
619,6,0.356846934000032
624,6,0.356846934000032
629,6,0.3574914920000083
634,6,0.3574914920000083
639,6,0.3574914920000083
644,6,0.36411852500009445
649,6,0.36411852500009445
655,6,0.36411852500009445
660,6,0.34907528400003685
665,6,0.34907528400003685
670,6,0.34907528400003685
675,5,0.3471226879998994
680,5,0.3471226879998994
685,5,0.3471226879998994
690,5,0.3356418040000335
695,5,0.3356418040000335
701,5,0.3356418040000335
706,4,0.32860998800003927
711,4,0.32860998800003927
716,4,0.32086994899998444
721,4,0.32086994899998444
726,4,0.32086994899998444
731,4,0.3047767359998943
736,4,0.3047767359998943
741,4,0.3047767359998943
747,4,0.30804844700003287
752,3,0.30804844700003287
757,3,0.30804844700003287
762,3,0.32511956600001213
767,3,0.32511956600001213
772,3,0.32511956600001213
777,3,0.3344454919999862
782,2,0.3344454919999862
787,2,0.3344454919999862
792,2,0.17534256600004028
798,2,0.17534256600004028
803,2,0.17534256600004028
808,2,0.2389434629999414
813,1,0.2389434629999414
818,1,0.2389434629999414
823,1,0.2339147990000129
828,2,0.3339147990000129
